,Name,Year,Genre,Main Cast,Sinopsis,Score,Content Rating,Genre,Network,img url,Episode
10,Prison Playbook,2017,"Comedy, Crime, Life, Drama","Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam","""Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuks biggest fans. The drama revolves around Je Hyuks time in prison, as well as the prisoners he meets and events that take place there. "", "" Hyuks biggest fans. The drama revolves around Je Hyuks time in prison, as well as the prisoners he meets and events that take place there. """,9,15+ - Teens 15 or older,"Life Lesson,, Bromance,, Wrongfully Accused,, Strong Male Lead,, Slight Romance,, Character Development,, Murder,, Prison Setting,, Black Comedy,, Baseball","Disney+ Hotstar, iQIYI, Netflix, Prime Video",https://i.mydramalist.com/xXK7yc.jpg?v=1,16 episodes
11,Mr. Queen,2020,"Historical, Comedy, Romance, Fantasy","Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past. While Queen Kim So Yong’s husband is the reigning monarch, King Cheol Jong, he is so in name only. The late King Sunjo’s Queen, Sun Won, has taken advantage of King Cheol Jong’s better nature, and is ruling the realm in his name. And she faces competition from her own brother, Kim Jwa Guen, who also has designs on power. Queen Kim So Yong will come to discover that her husband harbours some secrets, and is not as gentle and meek as he seems… Adapted from the novel ""The Promotion Record of a Crown Princess"" (太子妃升职记) by Xian Cheng (鲜橙)., only. The late King Sunjo’s Queen, Sun Won, has taken advantage of King Cheol Jong’s better nature, and is ruling the realm in his name. And she faces competition from her own brother, Kim Jwa Guen, who also has designs on power. Queen Kim So Yong will come to discover that her husband harbours some secrets, and is not as gentle and meek as he seems… Adapted from the novel ""The Promotion Record of a Crown Princess"" (太子妃升职记) by Xian Cheng (鲜橙).",9,15+ - Teens 15 or older,"Transmigration,, Sassy Female Lead,, Joseon Dynasty,, Eccentric Female Lead,, Calm Male Lead,, Time Travel,, Smart Male Lead,, Nice Male Lead,, Gender Swap,, Corruption","Netflix, Hulu, Viki",https://i.mydramalist.com/qPA42_4c.jpg?v=1,20 episodes
12,Mother,2018,"Thriller, Mystery, Psychological, Melodrama","Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol","Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her. ,",9,15+ - Teens 15 or older,"Mother-Daughter Relationship,, Independent Female Lead,, Smart Female Lead,, Child Abuse,, Adoption,, Strong Female Lead,, Suspense,, Orphan Female Lead,, Motherhood,, Investigation","K-DRAMA, Viki",https://i.mydramalist.com/dRPqdc.jpg?v=1,16 episodes
13,Alchemy of Souls Season 2: Light and Shadow,2022,"Action, Historical, Romance, Fantasy","Lee Jae Wook, Go Youn Jung, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra","Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom. ,",9,15+ - Teens 15 or older,"Magical Power,, Strong Male Lead,, Marriage Of Convenience,, Fantasy World,, Smart Male Lead,, Birth Secret,, Nice Male Lead,, Transmigration,, Supernatural,, Antihero Male Lead",Netflix,https://i.mydramalist.com/X06Rd_4c.jpg?v=1,10 episodes
14,Extraordinary Attorney Woo,2022,"Law, Romance, Life, Drama","Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung","Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions. ,",9,15+ - Teens 15 or older,"Autistic Female Lead,, Autism,, Attorney Female Lead,, Smart Female Lead,, Workplace Setting,, Nice Male Lead,, Father-Daughter Relationship,, Courtroom Setting,, Single Mother/Father Supporting Character,, Slow Burn Romance",Netflix,https://i.mydramalist.com/dgJJz_4c.jpg?v=1,16 episodes
15,Crash Landing on You,2019,"Military, Comedy, Romance, Political","Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another. ,",9,15+ - Teens 15 or older,"North And South Korea,, Strong Male Lead,, Rich Female Lead,, Fate,, Nice Male Lead,, Calm Male Lead,, Strong Female Lead,, Friendship,, Smart Female Lead,, Soulmates",Netflix,https://i.mydramalist.com/XrN2dc.jpg?v=1,16 episodes
16,Navillera,2021,"Life, Drama","Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos. Shim Deok Chool has had a life long dreaming of performing ballet. He is 70-years-old and retired from his job as a post office employee. Due to life situations, he put aside his dream of becoming a ballet dancer and worked a normal job to support his family. Now, Shim Deok Chool makes the decision to pursue his dream again. His family, including his wife and adult children, are not happy with his decision, but Shim Deok Chool does not waver in pursuing his life long dream. He joins a ballet company to learn ballet. There, he meets Lee Chae Rok. Lee Chae Rok is a 23-year-old man. While growing up, he played different sports like baseball, swimming, and soccer, but he wasn\t talented in any of those activities. He then became interested in ballet. His mother was a ballet dancer, but she died from a disease when Lee Chae Rok was young. His father later went bankrupt. Lee Chae Rok learned that he has a talent for ballet, but, after pursuing ballet, he barely has contact with his father and he has a hard time supporting himself financially. Going through hard times, his desire for ballet fades away. At this time, Sim Deok Chool appears in front of him. Adapted from the webtoon ""Navillera” () written by Hun and illustrated by Ji Min., his family. Now, Shim Deok Chool makes the decision to pursue his dream again. His family, including his wife and adult children, are not happy with his decision, but Shim Deok Chool does not waver in pursuing his life long dream. He joins a ballet company to learn ballet. There, he meets Lee Chae Rok. Lee Chae Rok is a 23-year-old man. While growing up, he played different sports like baseball, swimming, and soccer, but he wasn\t talented in any of those activities. He then became interested in ballet. His mother was a ballet dancer, but she died from a disease when Lee Chae Rok was young. His father later went bankrupt. Lee Chae Rok learned that he has a talent for ballet, but, after pursuing ballet, he barely has contact with his father and he has a hard time supporting himself financially. Going through hard times, his desire for ballet fades away. At this time, Sim Deok Chool appears in front of him. Adapted from the webtoon ""Navillera” () written by Hun and illustrated by Ji Min.",9,15+ - Teens 15 or older,"Ballet,, Life Lesson,, Unusual Friendship,, Adapted From A Webtoon,, Second Chance,, Father-Son Relationship,, Character Development,, Grandpa-Granddaughter Relationship,, Bromance,, Kind Male Lead","TVING, Netflix",https://i.mydramalist.com/wE3AA_4c.jpg?v=1,12 episodes
17,Vincenzo,2021,"Comedy, Law, Crime, Drama","Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon","At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice. , an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice. ",9,15+ - Teens 15 or older,"Mafia,, Revenge,, Slight Romance,, Eccentric Female Lead,, Smart Male Lead,, Injustice,, Antihero,, Black Comedy,, Corrupt Legal System,, Badass Male Lead","TVING, Netflix",https://i.mydramalist.com/vAnBe_4c.jpg?v=1,20 episodes
18,It's Okay to Not Be Okay,2020,"Psychological, Comedy, Romance, Drama","Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude. Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process. , it. The two defy fate and fall in love, finding their souls and identities in the process. ",8.9,15+ - Teens 15 or older,"Possessive Female Lead,, Independent Female Lead,, Successful Female Lead,, Melodrama,, Healing,, Selfless Male Lead,, Badass Female Lead,, Psychiatry,, Childhood Connection,, Trauma",Netflix,https://i.mydramalist.com/xw3xX_4c.jpg?v=1,16 episodes
19,Signal,2016,"Thriller, Mystery, Sci-Fi","Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung","Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police. Fifteen years later, Hae Yeong is now a police officer and criminal profiler. One day, he finds a walkie-talkie that allows him to get in contact with Detective Lee Jae Han who is in the past. Police officers Hae Yeong, Jae Han, and Cha So Hyun then set out on a journey to solve cold cases. , day, he finds a walkie-talkie that allows him to get in contact with Detective Lee Jae Han who is in the past. Police officers Hae Yeong, Jae Han, and Cha So Hyun then set out on a journey to solve cold cases. ",8.9,15+ - Teens 15 or older,"Different Timelines,, Butterfly Effect,, Murder,, Hwaseong Serial Murders,, Suspense,, Investigation,, Death,, Tragic Past,, Corruption,, Time Altering","Disney+ Hotstar, iQIYI, Viki, WeTV, Netflix, Tubi, Prime Video",https://i.mydramalist.com/6wYZO_4c.jpg?v=1,16 episodes
