,Name,Year,Genre,Main Cast,Sinopsis,Score,Content Rating,Genre,Network,img url,Episode
132,Squid Game,2021,"Action, Thriller, Mystery, Drama","Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Oh Young Soo, Anupam Tripathi","""After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean childrens games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing. "", Commencing the games, the participants soon learn of the deadly consequences that come with losing. ",8.5,18+ Restricted (violence & profanity),"Death Game,, Death,, Poor Male Lead,, Debt,, Competition,, Gore,, Survival,, Murder,, Game Show,, Suspense",Netflix,https://i.mydramalist.com/X6vkX_4c.jpg?v=1,9 episodes
133,Reply 1997,2012,"Comedy, Romance, Life","Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon","""Set in the 1990s, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that theyre getting married. "",",8.5,15+ - Teens 15 or older,"High School,, 1990s,, First Love,, Friends To Lovers,, Bromance,, Love Square,, Unrequited Love,, Love Triangle,, Male Chases Female First,, Strong Female Lead","iQIYI, Viki, Tubi, Prime Video, K-DRAMA, Apple TV",https://i.mydramalist.com/2DNbwc.jpg?v=1,16 episodes
134,Dong Yi,2010,"Adventure, Historical, Mystery, Romance","Han Hyo Joo, Ji Jin Hee, Lee So Yeon, Bae Soo Bin, Park Ha Sun, Jung Jin Young","""Dong Yi"" is a historical drama based on the life of Dong Yi later known as Choi Suk Bin. She worked in the royal palace as a lowly water maid. King Sok Jong then selected Choi as his concubine. Choi would then give birth to Yeong Jo, the second son of King Sok Jong and the future king of Joseon. After the birth of Yeong Jo, Dong Yi would become Suk Bin. ,",8.5,15+ - Teens 15 or older,"Joseon Dynasty,, Power Struggle,, Harem,, Investigation,, King Male Lead,, Skilled Fighter,, Hidden Past,, Noble Sacrifice,, Skilled Killer,, Orphan Female Lead","Viki, 옛드 : 옛날 드라마 드라맛집",https://i.mydramalist.com/WPlBXc.jpg?v=1,60 episodes
135,Thirty But Seventeen,2018,"Music, Mystery, Comedy, Romance","Shin Hye Sun, Yang Se Jong, Ahn Hyo Seop, Ye Ji Won, Wang Ji Won, Yoon Sun Woo","Woo Seo Ri, a violin prodigy at 17 who was about to study in Germany, got into a bus accident and fell into a coma waking up 13 years later. Mentally she is still only 17, while physically she is now 30. Due to a trauma he experienced 13 years before, Gong Woo Jin does not want to have a relationship with others. This series is about a man and a woman whose lives in their own ways essentially stopped when they were 17. Together, they use all their might to try and open the door to the happiness that they once thought had been closed to them. , whose lives in their own ways essentially stopped when they were 17. Together, they use all their might to try and open the door to the happiness that they once thought had been closed to them. ",8.5,15+ - Teens 15 or older,"Cohabitation,, Healing,, First Love,, Coma,, Tragic Past,, Nice Female Lead,, Trauma,, Eccentric Male Lead,, Dog,, Naive Female Lead","WeTV, Viki",https://i.mydramalist.com/0vVX7c.jpg?v=1,32 episodes
136,All of Us Are Dead,2022,"Action, Thriller, Horror, Sci-Fi","Park Ji Hoo, Yoon Chan Young, Lomon, Jo Yi Hyun, Yoo In Soo, Kim Byung Chul","A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected. Adapted from the webtoon ""All of Us Are Dead"" ( ) by Joo Dong Geun (). ,",8.5,18+ Restricted (violence & profanity),"Survival,, Zombies,, Death,, Zombie Apocalypse,, Virus,, High School,, Gore,, Adapted From A Webtoon,, Slight Romance,, Suspense",Netflix,https://i.mydramalist.com/WRQmX_4c.jpg?v=1,12 episodes
137,"It's Okay, That's Friendship",2021,"Comedy, Life","Choi Hyun Suk, Park Ji Hoon, Kim Jun Kyu, Yoshi, Mashiho, Yoon Jae Hyuk","The 12 members of TREASURE take on acting for the first time ever since debut. ,",8.5,G - All Ages,"Transfer Student Male Lead,, Student Male Lead,, School Setting,, Idol Male Lead,, Multiple Mains,, Web Series,, Bromance,, Friendship","iQIYI, Viki",https://i.mydramalist.com/rl6Vp_4c.jpg?v=1,1 episodes
138,"Work Later, Drink Now",2021,"Comedy, Life, Drama","Lee Sun Bin, Han Sun Hwa, Jung Eun Ji, Choi Si Won, Kim Jung Min, Yoo Ji Yeon","Ahn So Hee, Han Ji Yeon, and Kang Ji Gu enjoy hanging out after work and drinking together. The three women are single and in their 30s. As for their jobs, So Hee works as a broadcasting writer, Ji Yeon as a yoga instructor, and Ji Gu as a YouTuber. Meanwhile, Kang Buk Gu works as a PD of the TV variety show. He hangs out with these three women. Adapted from the webtoon ""Sooldo Girl"" () by Mi Kkang ()., Adapted from the webtoon ""Sooldo Girl"" () by Mi Kkang ().",8.5,18+ Restricted (violence & profanity),"Sismance,, Adapted From A Webtoon,, Drinking,, Friendship,, Confident Female Lead,, Workplace Abuse,, Instructor Female Lead,, Screenwriter Female Lead,, YouTuber Female Lead,, Female Centered Plot",TVING,https://i.mydramalist.com/RNw0z_4c.jpg?v=1,12 episodes
139,Two Weeks,2013,"Action, Thriller, Mystery, Drama","Lee Joon Gi, Kim So Yeon, Ryu Soo Young, Park Ha Sun, Lee Chae Mi, Jo  Min Ki","""Jang Tae San works at a pawn shop by day and prostitutes himself to older women at night. One day, hes contacted by his ex-girlfriend that he is the father of her daughter with leukemia, and hes the last chance to donate bone marrow and save their daughters life. That same day, he finds himself framed for murder but manages to escape and runs away. With nobody to trust, Jang Tae San has two weeks to try to prove his innocence and survive until his daughters surgery. Park Jae Kyung is a prosecutor searching for evidence to take down Moon Il Suk, the man who stabbed her father, and Jo Seo Hee, a beloved senator who is actually working with Moon Il Suk. Together with Detective Im Seung Woo, she works to uncover the truth behind the murder and its connections to Moon Il Suk and Jo Seo Hee."", "" has two weeks to try to prove his innocence and survive until his daughters surgery. Park Jae Kyung is a prosecutor searching for evidence to take down Moon Il Suk, the man who stabbed her father, and Jo Seo Hee, a beloved senator who is actually working with Moon Il Suk. Together with Detective Im Seung Woo, she works to uncover the truth behind the murder and its connections to Moon Il Suk and Jo Seo Hee.""",8.5,15+ - Teens 15 or older,"Child Female Lead,, Prosecutor Female Lead,, Detective Male Lead,, Single Father Male Lead,, Leukemia,, Wrongfully Accused,, Slight Romance,, Strong Male Lead,, Conspiracy,, Father-Daughter Relationship",Viki,https://i.mydramalist.com/MBRLVc.jpg?v=1,16 episodes
140,Dali and the Cocky Prince,2021,"Comedy, Romance, Drama","Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Woo Hee Jin","""As a young boy, Moo Hak grew up in the market as a peddler. Although he is ignorant, he is strong-willed and knows how to make money. He is now the managing director of Dondon F and B, a global restaurant chain that his family started as a small gamjatang diner. However, he isnt dignified and only cares about money. He meets Da Li, the only daughter and child of an upper-class family who runs an art gallery. She has a profound deep knowledge of things. She gets faced with bankruptcy due to her fathers sudden death and begins a hard life. Moo Hak and Da Li start a relationship as a creditor and debtor over the art gallery. Will these two polar opposites understand each other and fall in love? "", "" family who runs an art gallery. She has a profound deep knowledge of things. She gets faced with bankruptcy due to her fathers sudden death and begins a hard life. Moo Hak and Da Li start a relationship as a creditor and debtor over the art gallery. Will these two polar opposites understand each other and fall in love? """,8.5,15+ - Teens 15 or older,"Smart Female Lead,, Bankruptcy,, Rich Male Lead,, Rich Female Lead,, Male Chases Female First,, Art,, Multilingual,, Healthy Mains’ Relationship,, Strong Female Lead,, Eccentric Male Lead","Prime Video, Viki, Netflix",https://i.mydramalist.com/Z6oP7_4c.jpg?v=1,16 episodes
141,The Princess's Man,2011,"Action, Historical, Romance, Political","Park Shi Hoo, Moon Chae Won, Kim Yeong Cheol, Song Jong Ho, Hong Soo Hyun, Lee Min Woo","""Princess Se Ryung is the headstrong and forward-thinking daughter of Grand Prince Su Yang, who is determined to be King. She falls in love with the son of his mortal enemy, and their romance gets caught in the crossfire of her fathers quest for the throne. "",",8.5,15+ - Teens 15 or older,"Forbidden Love,, Strong Male Lead,, Power Struggle,, Strong Female Lead,, Family Pressure,, Joseon Dynasty,, Revenge,, Death,, Father-Daughter Relationship,, Princess Female Lead",Viki,https://i.mydramalist.com/MX2znc.jpg?v=1,24 episodes
142,When the Camellia Blooms,2019,"Thriller, Comedy, Romance, Drama","Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran","""Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as an orphan, is a single mother and runs a bar where many of the men in Ongsan frequent. Regardless of what the locals may whisper about Dong Baek, local police officer Hwang Yong Shik is deeply in love with her. Meanwhile, Dong Baeks ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target. Two versions available: 40 episodes (TV) || 20 episodes (online)"", "" Yong Shik is deeply in love with her. Meanwhile, Dong Baeks ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target. Two versions available: 40 episodes (TV) || 20 episodes (online)""",8.5,15+ - Teens 15 or older,"Mother-Son Relationship,, Dorky Male Lead,, Male Chases Female First,, Mystery,, Nice Male Lead,, Independent Female Lead,, Motherhood,, Family Relationship,, Slice Of Life,, Hardworking Female Lead",Netflix,https://i.mydramalist.com/jAYOrc.jpg?v=1,40 episodes
143,Call It Love,2023,"Romance, Drama, Melodrama","Kim Young Kwang, Lee Sung Kyung, Sung Joon, Ahn Hee Yeon, Kim Ye Won, Yeon Je Hyung","""Lifes difficulties can take a toll on anyone, and this romantic melodrama portrays the story of a man and woman who are deeply affected. Through their growing empathy and understanding for each other, they embark on a transformative journey filled with new emotions. Sim Woo Joos life takes a turn for the worse after her fathers death, when shes forced out of her home by his mistress. Seeking revenge, she approaches Han Dong Jin, the son of her fathers ex-lover. As she spends more time with him, she realizes that shes fallen in love. Han Dong Jin, a workaholic with a lonely life, finds his world turned upside down by Sim Woo Joos arrival. "", "" Dong Jin, the son of her fathers ex-lover. As she spends more time with him, she realizes that shes fallen in love. Han Dong Jin, a workaholic with a lonely life, finds his world turned upside down by Sim Woo Joos arrival. """,8.4,13+ - Teens 13 or older,"Loneliness,, Slow Burn Romance,, Healing,, Love/Hate Relationship,, Lonely Male Lead,, Trauma,, Slow Burn Story,, Revenge,, Depression,, Selfish Mother",Hulu,https://i.mydramalist.com/1wm5R5_4c.jpg?v=1,16 episodes
144,Circle,2017,"Thriller, Mystery, Sci-Fi","Yeo Jin Goo, Kim Kang Woo, Gong Seung Yeon, Lee Gi Kwang, Ahn Woo Yeon, Seo Hyun Chul","Taking place in both the present year 2017 and in the year 2037, when people believe that their future depends on humans controlling and regulating their emotions, this drama is a sci-fi mystery. When alien visitors arrive on Earth, humans learn new skills from them and take advantage of them; what ensues is a story of alliance, resistance, and love. \r Each episode will contain two shorter stories, the first part set in 2017 and called “Beta Project,” with the second set in 2037 and called “Grand New World.”, 2017 and called “Beta Project,” with the second set in 2037 and called “Grand New World.”",8.5,15+ - Teens 15 or older,"Future,, Bromance,, Strong Female Lead,, Smart Female Lead,, Calm Female Lead,, Smart Male Lead,, Kidnapping,, Character Development,, Human Experimentation,, Hidden Identity",GMMTV,https://i.mydramalist.com/rkVXDc.jpg?v=1,12 episodes
145,Itaewon Class,2020,"Business, Romance, Life, Drama","Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung, Ahn Bo Hyun, Kim Dong Hee","Park Saeroyi\s life has been turned upside down after he gets expelled from school for punching a bully and his father is killed in an accident. Following his father\s steps, he opens a pub named ""DanBam"" in Itaewon and, along with his manager and staff, strives towards success and reaching greater heights. Adapted from the webtoon ""Itaewon Class"" ( ) by Jo Gwang Jin (). ,",8.5,15+ - Teens 15 or older,"Revenge,, Time Skip,, Smart Female Lead,, Female Chases Male First,, Badass Female Lead,, Strong Female Lead,, Boss-Employee Relationship,, Tragic Past,, Nice Male Lead,, Adapted From A Webtoon",Netflix,https://i.mydramalist.com/kOpKmc.jpg?v=1,16 episodes
146,Because This Is My First Life,2017,"Comedy, Romance, Life, Drama","Jung So Min, Lee Min Ki, Esom, Park Byung Eun, Kim Ga Eun, Kim Min Seok","A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today. Nam Se Hee is a single man in his early 30’s. He has chosen not to marry. He owns his home, but he owes a lot on his mortgage. Meanwhile, Yoon Ji Ho is a single woman in her early 30’s. She does not own a home and envies those that do. She has given up on dating due to her financial struggles. Yoon Ji Ho begins to live at Nam Se Hee’s house. They become housemates. , and envies those that do. She has given up on dating due to her financial struggles. Yoon Ji Ho begins to live at Nam Se Hee’s house. They become housemates. ",8.5,15+ - Teens 15 or older,"Contract Relationship,, Marriage Of Convenience,, Eccentric Male Lead,, Multiple Couples,, Multiple Mains,, Cohabitation,, Nerdy Male Lead,, Calm Male Lead,, Sismance,, Cat","Disney+ Hotstar, Apple TV, iQIYI, Viki, WeTV, Netflix",https://i.mydramalist.com/PdBoyc.jpg?v=1,16 episodes
147,Lost,2021,"Life, Drama, Melodrama","Jeon Do Yeon, Ryu Joon Yeol, Park Byung Eun, Kim Hyo Jin, Park Ji Young, Park In Hwan","At forty years old, Lee Boo Jeong has lost her way. She feels like she has reached the end of her potential and achieved absolutely nothing. Lee Kang Jae is twenty-seven, a man at the end of his youth, and though ""afraid of nothing,"" feels afraid his life will never amount to anything. ""Lost"" tells the story of ordinary people walking towards the light who suddenly realize that othing has happened\ in the middle of the downhill road of life. It depicts the most ordinary daily life standing on the edge of darkness rather than light, a life where one cannot easily choose. , the middle of the downhill road of life. It depicts the most ordinary daily life standing on the edge of darkness rather than light, a life where one cannot easily choose. ",8.4,15+ - Teens 15 or older,"Slow Burn Story,, Depression,, Philosophical,, Father-Daughter Relationship,, Friendship,, Social Realism,, Miscarriage,, Older Woman/Younger Man,, Hardworking Female Lead,, Healing","Prime Video, iQIYI",https://i.mydramalist.com/vKrp8_4c.jpg?v=1,16 episodes
148,Voice Season 2,2018,"Thriller, Mystery, Psychological","Lee  Ha Na , Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok","Listen closely, because skilled voice profiler Kang Kwon Joo is back. Working tirelessly at the Emergency Call Center, she uses her first-rate hearing to save lives and catch culprits. When it comes to responding to emergencies within the vital “golden time,” Kang Kwon Joo is simply the best. Do Kang Woo is a mysterious man who’s able to tap into the mind of a criminal. He also hides a secret pain that he doesn’t share with anyone. When he meets Kang Kwon Joo, they reluctantly form a team. She can hear crime; he can think it. Together, they take on the most dangerous criminals their city has ever seen. , he doesn’t share with anyone. When he meets Kang Kwon Joo, they reluctantly form a team. She can hear crime; he can think it. Together, they take on the most dangerous criminals their city has ever seen. ",8.4,15+ - Teens 15 or older,"Investigation,, Strong Female Lead,, Leadership,, Suspense,, Kidnapping,, Tragic Past,, Teamwork,, Smart Female Lead,, Murder,, Impulsive Male Lead","Prime Video, Netflix, K-DRAMA",https://i.mydramalist.com/xEp0yc.jpg?v=1,12 episodes
149,Angel's Last Mission: Love,2019,"Comedy, Romance, Drama, Fantasy","Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi, Woo Hee Jin, Gil Eun Hye","""Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents sudden death, she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money. Because of her distrust and arrogance, she is unable to love anyone. Kim Dan is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina."", trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina.",8.4,15+ - Teens 15 or older,"Nice Male Lead,, Warm Man/Cold Woman,, Orphan Female Lead,, Strong Female Lead,, Opposites Attract,, Ballet,, Rich Female Lead,, Tearjerker,, Male Chases Female First,, Cohabitation","Apple TV, KBS World, Prime Video, iQIYI, Viki",https://i.mydramalist.com/10Y8yc.jpg?v=1,32 episodes
150,Snowdrop,2021,"Romance, Drama, Melodrama, Political","Jung Hae In, Kim Ji Soo, Jang Seung Jo, Yoo In Na, Yoon Se Ah, Kim Hye Yoon","In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Young Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict surveillance and dangerous situation. However, Young Ro is shocked to learn his secret. Despite heartbreakingly watching over his first love Young Ro, Soo Ho has no choice but to move according to the command in order to save his teammates and to go back to his home country where his sibling awaits. Young Ro rejects the will of her father and works hand in hand with Soo Ho to save her beloved man and her friends. What will happen to their fate? Adapted from the handwritten journal of a North Korean defector., the command in order to save his teammates and to go back to his home country where his sibling awaits. Young Ro rejects the will of her father and works hand in hand with Soo Ho to save her beloved man and her friends. What will happen to their fate? Adapted from the handwritten journal of a North Korean defector.",8.4,15+ - Teens 15 or older,"1980s,, Political Intrigue,, Love At First Sight,, North And South Korea,, Dormitory,, University,, Sismance,, Conspiracy,, Suspense,, Impulsive Female Lead","Disney+ Hotstar, Disney+",https://i.mydramalist.com/RKBWE_4c.jpg?v=1,16 episodes
151,If You Wish Upon Me,2022,"Romance, Life, Drama, Medical","Ji Chang Wook, Choi Soo Young, Sung Dong Il, Won Ji An, Yang Hee Kyung, Kil Hae Yeon","Yoon Kyeo Re is a young man who has known nothing but misery ever since he was a child. He was abused while still a boy and had a horrid time at the orphanage where he was raised. He then spent time in a juvenile detention center. And as an adult, things got no better, leading to him serving time in prison. Beatings and misery are all he knows, and he finds himself at the end of his tether, finally facing the void… But when he is ordered by a court to serve his community service at an end-of-life care facility for the terminally ill, things begin to change for him. Here he meets the tireless Kang Tae Shik, a middle-aged man who leads the volunteer team at the facility. Kang Tae Shik has created a unit called Team Genie, which is dedicated to granting dying patients their last wishes. No matter what people ask for, Team Genie will work their hardest to make those precious last wishes come true. He also meets Seo Yeon Joo, a young nurse who refuses to give up on her patients and tries to keep them physically active at all times. Will working at this facility help turn Yoon Gyeo Ree’s life around? Or is it too late to change his destiny? , himself at the end of his tether, finally facing the void… But when he is ordered by a court to serve his community service at an end-of-life care facility for the terminally ill, things begin to change for him. Here he meets the tireless Kang Tae Shik, a middle-aged man who leads the volunteer team at the facility. Kang Tae Shik has created a unit called Team Genie, which is dedicated to granting dying patients their last wishes. No matter what people ask for, Team Genie will work their hardest to make those precious last wishes come true. He also meets Seo Yeon Joo, a young nurse who refuses to give up on her patients and tries to keep them physically active at all times. Will working at this facility help turn Yoon Gyeo Ree’s life around? Or is it too late to change his destiny? ",8.4,15+ - Teens 15 or older,"Healing,, Found Family,, Attempted Suicide,, Terminal Illness,, Character Development,, Hospice Care,, Life Lesson,, Tearjerker,, Tragic Past,, Nurse Female Lead","Wavve, Viki",https://i.mydramalist.com/q4pyP_4c.jpg?v=1,16 episodes
152,Yumi's Cells,2021,"Psychological, Comedy, Romance, Drama","Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Joo Jong Hyuk, Lee Yoo Bi, Park Jin Young","Controlled by a complex network of cells, each and every human on the planet is kept running by an unseen operating system that is, for the most part, completely ignored. Though humans never give much thought to how they manage to function, day in and day out, the cells within the human body are constantly at work, doing their part to keep their humans alive and well. This is why on the outside, Kim Yoo Mi may appear to be just like every other single working woman in the world, but underneath that ordinary exterior lies something truly extraordinary. Having recently suffered a painful breakup, Yoo Mi’s love cells have fallen into a deep coma. While the surrounding cells work hard to revive their fallen compatriots, Yoo Mi spends her days stuck in the grind of everyday life. With a heart still broken and no romantic prospects, Yoo Mi’s love cells might have been in serious trouble had it not been for the sudden appearance of Goo Woong. An emotionally stunted game developer, Goo Woong has no idea how to express his true feelings, but after meeting Yoo Mi, he finds himself wanting to try. With his own love cells unexpectedly sparking Yoo Mi’s back to life, things between the two start to get interesting. With both Yoo Mi and Goo Woong’s cells working overtime, the two find themselves drawing ever closer. But will the efforts of this small collection of cells really be enough to bring two hearts together forever? Adapted from the webtoon ""Yumi\s Cells"" ( ) by Lee Dong Geon ()., outside, Kim Yoo Mi may appear to be just like every other single working woman in the world, but underneath that ordinary exterior lies something truly extraordinary. Having recently suffered a painful breakup, Yoo Mi’s love cells have fallen into a deep coma. While the surrounding cells work hard to revive their fallen compatriots, Yoo Mi spends her days stuck in the grind of everyday life. With a heart still broken and no romantic prospects, Yoo Mi’s love cells might have been in serious trouble had it not been for the sudden appearance of Goo Woong. An emotionally stunted game developer, Goo Woong has no idea how to express his true feelings, but after meeting Yoo Mi, he finds himself wanting to try. With his own love cells unexpectedly sparking Yoo Mi’s back to life, things between the two start to get interesting. With both Yoo Mi and Goo Woong’s cells working overtime, the two find themselves drawing ever closer. But will the efforts of this small collection of cells really be enough to bring two hearts together forever? Adapted from the webtoon ""Yumi\s Cells"" ( ) by Lee Dong Geon ().",8.4,13+ - Teens 13 or older,"Slice Of Life,, Friendship,, Adapted From A Webtoon,, Mixed Live Action-Animation,, Honest Male Lead,, Competent Female Lead,, Blind Date,, Game Developer Male Lead,, Successful Female Lead,, Character Development","Prime Video, TVING, iQIYI, Viki",https://i.mydramalist.com/4JzlJ_4c.jpg?v=1,14 episodes
153,Doom at Your Service,2021,"Comedy, Romance, Drama, Fantasy","Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon","""Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. Myeol Mang says that he can grant Dong Kyungs wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything. "", "" Kyungs wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything. """,8.4,15+ - Teens 15 or older,"Terminal Illness,, Illness,, Brain Cancer,, Hardworking Female Lead,, Unlucky Female Lead,, Glioblastoma,, First Love,, Eccentric Male Lead,, Brother-Sister Relationship,, Fate","TVING, Prime Video, Viki",https://i.mydramalist.com/vlNOX_4c.jpg?v=1,16 episodes
154,The World of the Married,2020,"Thriller, Romance, Drama, Melodrama","Kim Hee Ae, Park Hae Joon, Han So Hee, Park Sun Young, Kim Young Min, Chae Gook Hee","Everything seems perfect in the life of the successful family doctor and associate director, Ji Sun Woo. She lives happily in Gosan with her handsome husband Lee Tae Oh, whom she financially helped establish an entertainment company, and their teenage son, Joon Young. However, the perfect image of a happy, loving family life shatters when she discovers that her husband is having an affair, and even their mutual friends are helping him conceal it. Devastated by the betrayal, she sets on a path of seeking revenge and recollecting her broken self. Remake of the British TV series ""Doctor Foster"" 2015., conceal it. Devastated by the betrayal, she sets on a path of seeking revenge and recollecting her broken self. Remake of the British TV series ""Doctor Foster"" 2015.",8.4,18+ Restricted (violence & profanity),"Extramarital Affair,, Revenge,, Strong Female Lead,, Lying,, Sexual Content,, Successful Female Lead,, Friends To Enemies,, Pregnancy,, Psychological,, Suspense","Disney+ Hotstar, iflix, iQIYI",https://i.mydramalist.com/W3gKXc.jpg?v=1,16 episodes
155,Extracurricular,2020,"Psychological, Crime, Youth, Drama","Kim Dong Hee, Park Ju Hyun, Jung Da Bin, Nam Yoon Su, Choi Min Soo, Park Hyuk Kwon","""Extracurricular” is centered around four high school students who start committing crimes to earn money and the unpredictable dangers they face as a result. Ji Soo, who goes from a model student to a criminal after committing an unthinkable act. Jung Da Bin as school bully Min Hee, who gets caught up in Ji Soo’s crime. Park Joo Hyun will portray Ji Soo’s dangerous partner in crime Gyu Ri, while Nam Yoon Soo will appear as Min Hee’s boyfriend and the school’s most popular guy Ki Tae. , Soo will appear as Min Hee’s boyfriend and the school’s most popular guy Ki Tae. ",8.4,18+ Restricted (violence & profanity),"Prostitution,, Illegal Business,, High School,, Greed,, Sex Trafficking,, Smart Male Lead,, Rich Female Lead,, Violence,, Strong Female Lead,, School Bullying",Netflix,https://i.mydramalist.com/27Ry2c.jpg?v=1,10 episodes
156,Be Melodramatic,2019,"Comedy, Romance, Life, Melodrama","Chun Woo Hee, Jeon Yeo Been, Han Ji Eun, Ahn Jae Hong, Gong Myung, Lee Joo Bin","""Im Jin Joo, Lee Eun Jung, and Hwang Han Joo are best friends who are 30-years-old. Hwang Han Joo is the head of a marketing team for a drama production company. She is a single mother who struggles to balance her work and personal life as she is raising a kid. Im Jin Joo is a drama writer with a lot of emotional ups and downs. Her personality is unique, talking to a luxurious purse at times. Even though she is a drama writer, she tries to write her scripts in a literary style. Lee Eun Jung is a documentary director. She runs her own production company, although shes the only employee. One of her documentaries surprisingly becomes popular overnight. "", "" a luxurious purse at times. Even though she is a drama writer, she tries to write her scripts in a literary style. Lee Eun Jung is a documentary director. She runs her own production company, although shes the only employee. One of her documentaries surprisingly becomes popular overnight. """,8.4,15+ - Teens 15 or older,"Multiple Mains,, Sismance,, Strong Female Lead,, Multiple Couples,, Independent Female Lead,, Eccentric Female Lead,, Badass Female Lead,, Entertainment Industry,, Smart Female Lead,, Boss-Employee Relationship","Disney+ Hotstar, Apple TV, Viki, WeTV, Netflix",https://i.mydramalist.com/wnqenc.jpg?v=1,16 episodes
157,Queen In Hyun's Man,2012,"Historical, Comedy, Romance, Fantasy","Ji Hyun Woo, Yoo In Na, Kim Jin Woo, Ga Deuk Hee, Seo Woo Jin, Kim Won Hae","""Kim Boong Do is a scholar who had supported the reinstatement of Queen In Hyun when Jang Hee Bins schemes resulted in her being deposed and replaced as King Suk Jongs queen consort. He travels 300 years into the future of modern Seoul and meets Choi Hee Jin, a no-name actress who is expecting a career renaissance through her role as Queen In Hyun in a TV drama. "",",8.4,15+ - Teens 15 or older,"Smart Male Lead,, Time Travel,, Joseon Dynasty,, Calm Male Lead,, Amnesia,, Nice Male Lead,, Height Difference,, Past And Present,, Famous Lead/Common Lead,, Strong Male Lead","AsianCrush, Prime Video, Tubi",https://i.mydramalist.com/9oVZEc.jpg?v=1,16 episodes
158,Seasons of Blossom,2022,"Comedy, Romance, Youth, Drama","Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin","A story of love and friendship between five high school students from Seoyeon High School. Lee Ha Min appears like a bright person, but there is also darkness within his mind. Han So Mang is a warm-hearted person, but she is also quite timid. Lee Jae Min is a popular student with a painful past. He is kind to everyone around him. Yoon Bo Mi is a sweet, model student. Choi Jin Young loves playing games. He can seem unfriendly and has a delicate personality. (Source : Asianwiki) Adapted from the webtoon ""Seasons of Blossom"" ( ) by HONGDUCK and NEMONE., Young loves playing games. He can seem unfriendly and has a delicate personality. (Source : Asianwiki) Adapted from the webtoon ""Seasons of Blossom"" ( ) by HONGDUCK and NEMONE.",8.4,13+ - Teens 13 or older,"Suicide,, Flashback To Past,, Past And Present,, Death,, Coming Of Age,, Friendship,, Fake Relationship,, Student Female Lead,, Student Male Lead,, School Setting",Viki,https://i.mydramalist.com/QDnoY_4c.jpg?v=1,16 episodes
